ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
329,DE,1991,Germany,8/1/1991,8/5/1991,River,Donauraum; Salzach; Inn; Enns,DE222;DE224;DE228;DE22B;DE235;DE238,DE222;DE224;DE228;DE22B;DE235;DE238,,5,,85000000,DEM,66025027,Heavy rainfall up to 60 mm in 36 h,,CRED (2023); Munich Re (1999); Weber and Braun (2014); Papagiannaki et al. (2022),
1051,PL,1991,Poland,8/1/1991,8/6/1991,River,Dunajec; Skawa,PL216;PL225,PL21A;PL225,,0,,56800000000,PLZ,10737854,Heavy rainfall up to 220 mm in 5 days,,Brakenridge (2022); EEA (2015); Mikulski (1998); Franczak (2016),Updated
10,AT,1991,Austria,8/2/1991,8/6/1991,River,Donau; Emms; Steyr; Schwemmbach,AT121;AT126;AT311;AT312;AT323,AT121;AT126;AT311;AT312;AT323,60,6,,1000000000,ATS,120384117,Heavy rainfall,,CRED (2023); EEA (2015); Brakenridge (2022); Kronen Zeitung (2013); Land Salzburg (2023),
1338,ES,1991,Spain,10/4/1991,10/4/1991,Flash,,ES523,ES523,,1,450,5640000000,ESP,67538087,Extreme rainfall,Compensated economic losses,UNDRR (2022); EEA (2015); Consorcio de Compensación de Seguros (2022),Updated
890,IT,1991,Italy,10/12/1991,10/12/1991,Flash,Dittaino; Gattano,ITG14;ITG15;ITG16;ITI12;ITI16;ITI17,ITG14;ITG15;ITG16;ITI12;ITI16;ITI17,,14,,1.5E+11,ITL,145833372,Extreme rainfall,12-15 victims,Munich Re (2017); APAT (2005); La Repubblica (1991); CNR (2023); Papagiannaki et al. (2022),Updated
891,IT,1991,Italy,10/19/1991,10/19/1991,Flash,,ITI44,ITI44,,3,,,,,Extreme rainfall,,Munich Re (2017); APAT (2005),
892,IT,1991,Italy,11/15/1991,11/16/1991,Flash,Bisenzio,ITI12;ITI13;ITI14;ITI18,ITI12;ITI13;ITI14;ITI18,,4,,2E+11,ITL,194444496,Extreme rainfall,,Wikipedia (2023b); CNR (2023); Papagiannaki et al. (2022),Updated
893,IT,1991,Italy,11/16/1991,11/17/1991,Flash,Aniene; Fiora; Paglia,ITI21;ITI43;ITI45,ITI21;ITI43;ITI45,,2,,,,,Extreme rainfall up to 100 mm in 24 h,,CNR (2023),
2745,IT,1991,Italy,11/22/1991,11/25/1991,River,Cesano; Chienti,ITI31;ITI32;ITI33,ITI31;ITI32;ITI33,,0,,10000000000,ITL,9722225,Heavy rainfall,,CNR (2023),New
894,IT,1992,Italy,4/10/1992,4/10/1992,Flash,Piomba; Pescara,ITF11;ITF12;ITF13;ITF14,ITF11;ITF12;ITF13;ITF14,,3,,1E+11,ITL,93153208,Extreme rainfall,,CNR (2023); Papagiannaki et al. (2022),
895,IT,1992,Italy,4/10/1992,4/13/1992,River,Tronto,ITI33;ITI34;ITI35,ITI33;ITI34;ITI35,,0,200,1E+11,ITL,93153208,Heavy rainfall up to 300 mm in 3 days,Also landslides,CNR (2023),Corrected
896,IT,1992,Italy,6/2/1992,6/2/1992,Flash,Olona; Fontanile,ITC41,ITC41,,1,,5E+11,ITL,465766041,Extreme rainfall up to 120 mm in 5 hours,,CNR (2023); Papagiannaki et al. (2022),
6021,DE,1992,Germany,6/10/1992,6/11/1992,Flash,,DE273;DE27E,DE273;DE27E,,0,,2000000,DEM,1475250,Extreme rainfall,Also hailstorm,Munich Re (1999),New
1339,ES,1992,Spain,6/19/1992,6/19/1992,Flash,,ES616,ES616,,1,300,,,,Extreme rainfall,,UNDRR (2022),
2714,FR,1992,France,6/23/1992,6/24/1992,Flash,Aude,FR811,FRJ11,,1,,,,,Extreme rainfall up to 160 mm in 24 h,,Papagiannaki et al. (2022); Meteo France (2022),New
2304,ES,1992,Spain,6/23/1992,6/23/1992,Flash,Oria; Urumea,ES212,ES212,,,260,7000000000,ESP,78552396,Extreme rainfall,Compensated economic losses; unknown number of fatalities,UNDRR (2022); Consorcio de Compensación de Seguros (2022); Miteco (2021),New
6022,DE,1992,Germany,7/6/1992,7/6/1992,Flash,,DED43,DED43,,1,,,,,Extreme rainfall up to 170 mm in 3.5 h,,Wikipedia (2017q),New
2305,ES,1992,Spain,7/8/1992,7/8/1992,Flash,,ES614,ES614,,0,800,1600000000,ESP,17954833,Extreme rainfall,,UNDRR (2022),New
897,IT,1992,Italy,7/11/1992,7/11/1992,Flash,Frigido; Versilia,ITI12,ITI12,,3,,,,,Extreme rainfall,,CNR (2023),
1340,ES,1992,Spain,7/16/1992,7/18/1992,River,,ES513,ES513,,1,,,,,Heavy rainfall,,UNDRR (2022),
1018,NL,1992,Netherlands,8/12/1992,8/12/1992,River,,NL111,NL111,,0,,55000000,NLG,41327342,Heavy rainfall,,CRED (2023); Munich Re (2017); Piebes (2015),
202,FR,1992,France,9/21/1992,9/22/1992,Flash,Ouvèze,FR712;FR713;FR826,FRK22;FRK23;FRL06,,49,2000,2400000000,FRF,526886352,"Extreme rainfall up to 300 mm in 6 h, up to 200 mm in 2 h",,Barredo (2007); Brakenridge (2022); Meteo France (2022); Papagiannaki et al. (2022),Updated
898,IT,1992,Italy,9/22/1992,9/22/1992,Flash,Bormida; Botassana; Erro,ITC18;ITC32,ITC18;ITC32,,5,,,,,Extreme rainfall,,Wikipedia (2023b); CNR (2023); Papagiannaki et al. (2022),Updated
